"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrich","symbol"
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","18/440","43/8779",5.39366613697919e-13,1.38273986420739e-11,1.03744200338069e-11,"355/3002/3458/942/356/941/940/3123/3117/3111/3108/3122/3115/4049/3113/3106/3112/3109",18,8.35211416490486,"FAS/GZMB/IFNG/CD86/FASLG/CD80/CD28/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/LTA/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","35/440","180/8779",2.47212637670745e-12,5.80949698526251e-11,4.35874913787893e-11,"843/972/2213/50617/3587/3458/1509/7099/7097/3687/2212/2209/3606/2207/3689/1520/26253/3684/64581/7096/10333/4261/3123/3117/1378/2214/3111/3108/3122/3115/3113/54106/3112/3109/4360",35,3.87960858585859,"CASP10/CD74/FCGR2B/ATP6V0A4/IL10RA/IFNG/CTSD/TLR4/TLR2/ITGAX/FCGR2A/FCGR1A/IL18/FCER1G/ITGB2/CTSS/CLEC4E/ITGAM/CLEC7A/TLR1/TLR6/CIITA/HLA-DRB1/HLA-DQA1/CR1/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/TLR9/HLA-DOB/HLA-DMB/MRC1"
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","19/440","53/8779",3.33612944565045e-12,7.23683464364175e-11,5.42965197227321e-11,"355/7038/3002/959/942/356/941/1493/940/3123/3117/3111/3108/3122/3115/3113/3106/3112/3109",19,7.15270154373928,"FAS/TG/GZMB/CD40LG/CD86/FASLG/CD80/CTLA4/CD28/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","18/440","49/8779",7.74236997023325e-12,1.55953452257555e-10,1.17008749174202e-10,"959/942/941/3601/5284/29851/3600/940/3123/3117/3111/3108/3122/3115/3113/23495/3112/3109",18,7.32940630797774,"CD40LG/CD86/CD80/IL15RA/PIGR/ICOS/IL15/CD28/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/TNFRSF13B/HLA-DOB/HLA-DMB"
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","22/440","77/8779",1.17659667582824e-11,2.21200175055709e-10,1.65962057432615e-10,"5743/3458/4688/7099/7097/2212/2209/653361/3689/1536/3684/3123/3117/1378/2214/3111/3108/3122/3115/3113/3112/3109",22,5.70064935064935,"PTGS2/IFNG/NCF2/TLR4/TLR2/FCGR2A/FCGR1A/NCF1/ITGB2/CYBB/ITGAM/HLA-DRB1/HLA-DQA1/CR1/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","21/440","78/8779",1.20431615864268e-10,2.12260722960772e-09,1.59254965715249e-09,"920/972/3458/3824/1514/1520/567/6890/4261/8302/3123/3117/3111/3108/3122/10437/3115/3113/3106/3112/3109",21,5.37176573426573,"CD4/CD74/IFNG/KLRD1/CTSL/CTSS/B2M/TAP1/CIITA/KLRC4/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/IFI30/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","15/440","38/8779",1.3357695150265e-10,2.21580590139689e-09,1.66247475244784e-09,"920/695/5788/29760/959/973/3718/3561/29851/915/6890/3575/930/4261/23495",15,7.8758971291866,"CD4/BTK/PTPRC/BLNK/CD40LG/CD79A/JAK3/IL2RG/ICOS/CD3D/TAP1/IL7R/CD19/CIITA/TNFRSF13B"
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","24/440","108/8779",4.36995235042417e-10,6.84625868233119e-09,5.13661065751613e-09,"920/3560/50615/10148/3718/3458/3554/3559/3662/3561/917/3570/7048/915/3123/3117/919/3111/3108/3122/3115/3113/3112/3109",24,4.43383838383838,"CD4/IL2RB/IL21R/EBI3/JAK3/IFNG/IL1R1/IL2RA/IRF4/IL2RG/CD3G/IL6R/TGFBR2/CD3D/HLA-DRB1/HLA-DQA1/CD247/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","16/440","50/8779",1.23327232527305e-09,1.83043576698421e-08,1.37333926526251e-08,"3683/3383/959/6347/3458/7099/7097/7057/3606/3689/7412/7058/1378/2532/22914/54106",16,6.38472727272727,"ITGAL/ICAM1/CD40LG/CCL2/IFNG/TLR4/TLR2/THBS1/IL18/ITGB2/VCAM1/THBS2/CR1/ACKR1/KLRK1/TLR9"
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","18/440","65/8779",1.58264387888734e-09,2.23152786923115e-08,1.67427062977029e-08,"50615/3458/8809/8807/7099/7097/6775/3561/3606/3123/3117/3111/3108/3122/3115/3113/3112/3109",18,5.52524475524476,"IL21R/IFNG/IL18R1/IL18RAP/TLR4/TLR2/STAT4/IL2RG/IL18/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","21/440","90/8779",2.13585345559957e-09,2.86814606894799e-08,2.15191250413791e-08,"974/695/933/27071/2213/29760/10859/11024/973/1380/10288/640/7409/25780/55024/3635/930/11006/5336/79168/4067",21,4.6555303030303,"CD79B/BTK/CD22/DAPP1/FCGR2B/BLNK/LILRB1/LILRA1/CD79A/CR2/LILRB2/BLK/VAV1/RASGRP3/BANK1/INPP5D/CD19/LILRB4/PLCG2/LILRA6/LYN"
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","18/440","69/8779",4.54370941157886e-09,5.82420933666018e-08,4.36978752022656e-08,"3683/3383/959/942/941/3689/940/3123/1604/3117/3111/3108/3122/3115/3113/3106/3112/3109",18,5.20494071146245,"ITGAL/ICAM1/CD40LG/CD86/CD80/ITGB2/CD28/HLA-DRB1/CD55/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","31/440","192/8779",5.65666722578839e-09,6.93556590292316e-08,5.20361607498154e-08,"2268/6376/2920/6367/3718/5294/6347/1235/3702/6364/113/729230/1236/1794/4283/7409/10563/653361/1230/1524/3627/6373/10663/2829/1237/1233/5336/4067/6351/6362/6358",31,3.22146070075758,"FGR/CX3CL1/CXCL2/CCL22/JAK3/PIK3CG/CCL2/CCR6/ITK/CCL20/ADCY7/CCR2/CCR7/DOCK2/CXCL9/VAV1/CXCL13/NCF1/CCR1/CX3CR1/CXCL10/CXCL11/CXCR6/XCR1/CCR8/CCR4/PLCG2/LYN/CCL4/CCL18/CCL14"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","28/440","171/8779",2.30761465832464e-08,2.68943251000224e-07,2.01782730313718e-07,"355/3383/6347/3458/356/8743/7099/90865/834/3606/114548/7098/3627/7177/4261/3123/51284/3117/64499/3111/3108/3122/3115/3113/3112/3109/9641/5645",28,3.26703880914407,"FAS/ICAM1/CCL2/IFNG/FASLG/TNFSF10/TLR4/IL33/CASP1/IL18/NLRP3/TLR3/CXCL10/TPSAB1/CIITA/HLA-DRB1/TLR7/HLA-DQA1/TPSB2/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB/IKBKE/PRSS2"
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","18/440","76/8779",2.38424867908e-08,2.68943251000224e-07,2.01782730313718e-07,"653509/722/725/7099/834/3394/710/23643/715/3689/114548/717/3684/713/712/716/721/720",18,4.72553827751196,"SFTPA1/C4BPA/C4BPB/TLR4/CASP1/IRF8/SERPING1/LY96/C1R/ITGB2/NLRP3/C2/ITGAM/C1QB/C1QA/C1S/C4B/C4A"
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","24/440","137/8779",6.32910053434355e-08,6.86463981032647e-07,5.15040164940508e-07,"959/3458/942/941/2212/2209/715/717/713/712/940/716/3123/3117/2214/3111/3108/3122/3115/721/3113/3112/3109/720",24,3.49528865295289,"CD40LG/IFNG/CD86/CD80/FCGR2A/FCGR1A/C1R/C2/C1QB/C1QA/CD28/C1S/HLA-DRB1/HLA-DQA1/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/C4B/HLA-DPA1/HLA-DOB/HLA-DMB/C4A"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","30/440","202/8779",7.12366880578448e-08,7.44027630826379e-07,5.5822901752931e-07,"3683/695/355/960/3383/29760/3718/1380/7128/7097/917/567/915/6890/3627/930/3123/3117/5336/919/3111/3108/3122/3115/3113/3106/3112/3109/4067/9641",30,2.96320882088209,"ITGAL/BTK/FAS/CD44/ICAM1/BLNK/JAK3/CR2/TNFAIP3/TLR2/CD3G/B2M/CD3D/TAP1/CXCL10/CD19/HLA-DRB1/HLA-DQA1/PLCG2/CD247/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB/LYN/IKBKE"
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","19/440","92/8779",1.03902329379228e-07,1.04644488874794e-06,7.85126624256574e-07,"920/3560/3718/3458/3559/6775/3561/917/915/3123/3117/919/3111/3108/3122/3115/3113/3112/3109",19,4.12057806324111,"CD4/IL2RB/JAK3/IFNG/IL2RA/STAT4/IL2RG/CD3G/CD3D/HLA-DRB1/HLA-DQA1/CD247/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","24/440","141/8779",1.11714279310615e-07,1.08632506088253e-06,8.15047918019366e-07,"695/3937/2213/29760/10326/54/10859/11024/3458/3554/4688/3709/10288/2212/2209/653361/7048/4982/1436/11006/4286/5336/2214/79168",24,3.39613152804642,"BTK/LCP2/FCGR2B/BLNK/SIRPB1/ACP5/LILRB1/LILRA1/IFNG/IL1R1/NCF2/ITPR2/LILRB2/FCGR2A/FCGR1A/NCF1/TGFBR2/TNFRSF11B/CSF1R/LILRB4/MITF/PLCG2/FCGR3A/LILRA6"
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","11/440","31/8779",1.50718925467145e-07,1.41675789939116e-06,1.0629650532946e-06,"959/2207/3123/3117/3111/3108/3122/3115/3113/3112/3109",11,7.07983870967742,"CD40LG/FCER1G/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","21/440","118/8779",3.24008900507401e-07,2.94743580461571e-06,2.21140200346307e-06,"843/6376/330/355/602/5743/1906/2920/3383/1326/6347/6364/8809/7128/3976/90993/7412/3600/197259/3627/4049",21,3.5508281972265,"CASP10/CX3CL1/BIRC3/FAS/BCL3/PTGS2/EDN1/CXCL2/ICAM1/MAP3K8/CCL2/CCL20/IL18R1/TNFAIP3/LIF/CREB3L1/VCAM1/IL15/MLKL/CXCL10/LTA"
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","30/440","222/8779",5.88081181016011e-07,5.1824654077036e-06,3.88829991395455e-06,"3683/920/3383/3560/3718/3554/113/7538/3559/3601/4316/3561/90993/3689/917/7048/3600/567/915/3123/3117/3111/3108/3122/3115/4049/3113/3106/3112/3109",30,2.69625307125307,"ITGAL/CD4/ICAM1/IL2RB/JAK3/IL1R1/ADCY7/ZFP36/IL2RA/IL15RA/MMP7/IL2RG/CREB3L1/ITGB2/CD3G/TGFBR2/IL15/B2M/CD3D/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/LTA/HLA-DPA1/HLA-B/HLA-DOB/HLA-DMB"
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","21/440","132/8779",2.19596252104223e-06,1.87654979070881e-05,1.40793769291703e-05,"3683/355/3937/3383/3002/3458/962/356/8743/51744/10870/3824/7409/2207/3689/4068/5336/919/2214/22914/3106",21,3.17422520661157,"ITGAL/FAS/LCP2/ICAM1/GZMB/IFNG/CD48/FASLG/TNFSF10/CD244/HCST/KLRD1/VAV1/FCER1G/ITGB2/SH2D1A/PLCG2/CD247/FCGR3A/KLRK1/HLA-B"
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","18/440","105/8779",3.95581101931995e-06,3.28099619837713e-05,2.46166568075328e-05,"695/330/5743/2920/3383/29760/959/3554/7128/5328/7099/597/23643/7412/5336/4049/4067/6351",18,3.42038961038961,"BTK/BIRC3/PTGS2/CXCL2/ICAM1/BLNK/CD40LG/IL1R1/TNFAIP3/PLAU/TLR4/BCL2A1/LY96/VCAM1/PLCG2/LTA/LYN/CCL4"
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","25/440","186/8779",5.74014891137833e-06,4.62491998002483e-05,3.46998475544976e-05,"330/846/2920/5027/4210/6347/2635/2633/7128/3709/84674/7099/834/838/3606/115362/2634/115361/114548/3428/9447/1536/837/114769/9641",25,2.68175708699902,"BIRC3/CASR/CXCL2/P2RX7/MEFV/CCL2/GBP3/GBP1/TNFAIP3/ITPR2/CARD6/TLR4/CASP1/CASP5/IL18/GBP5/GBP2/GBP4/NLRP3/IFI16/AIM2/CYBB/CASP4/CARD16/IKBKE"
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","18/440","111/8779",8.89222972219241e-06,6.96557994905072e-05,5.22613501216572e-05,"330/959/5294/3587/3458/7099/7097/23643/4261/3123/3117/3111/3108/3122/3115/3113/3112/3109",18,3.23550368550369,"BIRC3/CD40LG/PIK3CG/IL10RA/IFNG/TLR4/TLR2/LY96/CIITA/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB/HLA-DMB"
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","10/440","37/8779",9.2685816891046e-06,7.06416226034459e-05,5.30009934426749e-05,"355/3383/8542/3458/356/3620/3606/7412/169355/54106",10,5.39250614250614,"FAS/ICAM1/APOL1/IFNG/FASLG/IDO1/IL18/VCAM1/IDO2/TLR9"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","28/440","233/8779",1.40456223910486e-05,0.000104233303007256,7.82041579113788e-05,"51311/6347/7450/2162/7099/7097/834/2212/715/3570/114548/7098/1536/717/3627/719/713/712/716/4312/51284/728/1675/5336/721/629/720/9641",28,2.39769801014436,"TLR8/CCL2/VWF/F13A1/TLR4/TLR2/CASP1/FCGR2A/C1R/IL6R/NLRP3/TLR3/CYBB/C2/CXCL10/C3AR1/C1QB/C1QA/C1S/MMP1/TLR7/C5AR1/CFD/PLCG2/C4B/CFB/C4A/IKBKE"
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","17/440","108/8779",2.35622185001444e-05,0.000170372964539506,0.000127827420203212,"51311/1326/942/941/7099/7097/4283/23643/7098/3627/6373/7096/10333/51284/54106/9641/6351",17,3.14063552188552,"TLR8/MAP3K8/CD86/CD80/TLR4/TLR2/CXCL9/LY96/TLR3/CXCL10/CXCL11/TLR1/TLR6/TLR7/TLR9/IKBKE/CCL4"
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","18/440","124/8779",4.19357236831491e-05,0.000295646851966201,0.000221817906850341,"695/3937/6916/54518/5742/8605/5294/5023/7450/5321/8673/113/3709/2212/2207/3673/5336/4067",18,2.89629765395894,"BTK/LCP2/TBXAS1/APBB1IP/PTGS1/PLA2G4C/PIK3CG/P2RX1/VWF/PLA2G4A/VAMP8/ADCY7/ITPR2/FCGR2A/FCER1G/ITGA2/PLCG2/LYN"
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","36/440","359/8779",4.96328122939324e-05,0.000341376904070462,0.000256128248294747,"8516/3560/3718/5294/374/7450/5618/3694/2335/7143/356/6446/1441/3791/3559/5156/7099/7097/7057/22801/2252/9180/3561/284/90993/3570/1293/3673/3575/1942/256076/930/1436/7058/1902/131873",36,2.000785008863,"ITGA8/IL2RB/JAK3/PIK3CG/AREG/VWF/PRLR/ITGB6/FN1/TNR/FASLG/SGK1/CSF3R/KDR/IL2RA/PDGFRA/TLR4/TLR2/THBS1/ITGA11/FGF7/OSMR/IL2RG/ANGPT1/CREB3L1/IL6R/COL6A3/ITGA2/IL7R/EFNA1/COL6A5/CD19/CSF1R/THBS2/LPAR1/COL6A6"
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","25/440","215/8779",7.02512404537366e-05,0.000471686900189374,0.000353897226345891,"355/2920/3383/959/6347/4688/356/8743/7099/7097/25833/834/7409/3606/23643/653361/7412/114548/19/1536/4973/10333/4312/4067/9641",25,2.32003171247357,"FAS/CXCL2/ICAM1/CD40LG/CCL2/NCF2/FASLG/TNFSF10/TLR4/TLR2/POU2F3/CASP1/VAV1/IL18/LY96/NCF1/VCAM1/NLRP3/ABCA1/CYBB/OLR1/TLR6/MMP1/LYN/IKBKE"
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","21/440","166/8779",7.94486326727638e-05,0.000510601545717115,0.000383094104849347,"1439/3560/50615/3718/3587/3458/5618/1441/3581/3976/3559/3601/5156/6775/9180/3561/3570/11009/3600/3575/1438",21,2.52408269441402,"CSF2RB/IL2RB/IL21R/JAK3/IL10RA/IFNG/PRLR/CSF3R/IL9R/LIF/IL2RA/IL15RA/PDGFRA/STAT4/OSMR/IL2RG/IL6R/IL24/IL15/IL7R/CSF2RA"
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","23/440","191/8779",7.96683262821031e-05,0.000510601545717115,0.000383094104849347,"3683/51311/7450/6404/4688/7099/7097/834/2212/2209/653361/3689/1536/3684/2357/64581/2359/51284/837/728/5336/1378/2214",23,2.40262970014279,"ITGAL/TLR8/VWF/SELPLG/NCF2/TLR4/TLR2/CASP1/FCGR2A/FCGR1A/NCF1/ITGB2/CYBB/ITGAM/FPR1/CLEC7A/FPR3/TLR7/CASP4/C5AR1/PLCG2/CR1/FCGR3A"
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","15/440","102/8779",0.000156260898937194,0.000979234966673082,0.000734700366932772,"355/5054/6347/3458/356/7099/7097/917/7048/915/713/712/10333/919/54106",15,2.93415775401069,"FAS/SERPINE1/CCL2/IFNG/FASLG/TLR4/TLR2/CD3G/TGFBR2/CD3D/C1QB/C1QA/TLR6/CD247/TLR9"
