"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","metabs_mean","FoldEnrich","query"
"map00562","map00562","Inositol phosphate metabolism","5/68","47/2402",0.00956862870746413,0.0452335175261941,0.0329636969826516,"C00024/C00118/C00111/C00092/C00137",5,1.79769885096236,3.75782227784731,"acetyl-coa/d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/glucose-6-phosphate/myo-inositol"
"map00760","map00760","Nicotinate and nicotinamide metabolism","5/68","55/2402",0.0182328216541825,0.0783612591212811,0.0571053710195571,"C00111/C00003/C00153/C03722/C00042",5,1.92236850900725,3.21122994652406,"dihydroxy-acetone-phosphate/nad+/nicotinamide/quinolinate/succinate"
"map00564","map00564","Glycerophospholipid metabolism","5/68","56/2402",0.0195903147803203,0.0783612591212811,0.0571053710195571,"C00570/C00114/C00111/C00670/C00093",5,1.15849935517306,3.15388655462185,"cdp-ethanolamine/choline/dihydroxy-acetone-phosphate/glycerophosphocholine/sn-glycerol-3-phosphate"
"map00380","map00380","Tryptophan metabolism","6/68","83/2402",0.028047809682532,0.0995232376630761,0.0725270557868571,"C00024/C00463/C00328/C03722/C00078/C02470",6,1.91716932596258,2.55350815024805,"acetyl-coa/indole/kynurenine/quinolinate/tryptophan/xanthurenic acid"
"map00430","map00430","Taurine and hypotaurine metabolism","3/68","24/2402",0.0287086262489643,0.0995232376630761,0.0725270557868571,"C00024/C00227/C00245",3,1.24677637198503,4.41544117647059,"acetyl-coa/acetylphosphate/taurine"
"map00250","map00250","Alanine, aspartate and glutamate metabolism","3/68","28/2402",0.0428951156404554,0.13940912583148,0.101593694937921,"C00158/C00036/C00042",3,1.13405237105684,3.78466386554622,"citrate/oxaloacetate/succinate"
"map00410","map00410","beta-Alanine metabolism","3/68","32/2402",0.0599775702873953,0.183460803232033,0.133696131909983,"C03492/C00024/C03722",3,2.46012489825604,3.31158088235294,"4-phosphopantothenate/acetyl-coa/quinolinate"
"map00920","map00920","Sulfur metabolism","3/68","33/2402",0.0646801866098127,0.186145330223255,0.135652467369174,"C00224/C00042/C00245",3,1.09669703704919,3.21122994652406,"adenosine 5-phosphosulfate/succinate/taurine"
"map00051","map00051","Fructose and mannose metabolism","4/68","55/2402",0.0680146398892663,0.186145330223255,0.135652467369174,"C00118/C00111/C05378/C00186",4,1.66238750660708,2.56898395721925,"d-glyceraldehdye-3-phosphate/dihydroxy-acetone-phosphate/fructose-1,6-bisphosphate/lactate"
"map00500","map00500","Starch and sucrose metabolism","3/68","37/2402",0.0851127693111035,0.214160818732187,0.15606861284127,"C00085/C00092/C00029",3,2.36756198363729,2.86406995230525,"fructose-6-phosphate/glucose-6-phosphate/udp-d-glucose"
"map00480","map00480","Glutathione metabolism","3/68","38/2402",0.0906065002328483,0.214160818732187,0.15606861284127,"C00024/C00127/C00051",3,1.1567424175371,2.78869969040248,"acetyl-coa/glutathione disulfide/glutathione"
"map00561","map00561","Glycerolipid metabolism","3/68","38/2402",0.0906065002328483,0.214160818732187,0.15606861284127,"C00111/C00093/C00029",3,1.21983762102495,2.78869969040248,"dihydroxy-acetone-phosphate/sn-glycerol-3-phosphate/udp-d-glucose"
"map00240","map00240","Pyrimidine metabolism","4/68","64/2402",0.105162416109752,0.237758505987266,0.173265308006914,"C00337/C02170/C00086/C00075",4,1.24848465068504,2.20772058823529,"dihydroorotate/methylmalonic acid/urea/utp"
