,pvalue,fc,log2fc
cystathionine,3.3794847713199804e-09,7.485738133723329,2.9041445807269692
"fructose-1,6-bisphosphate",1.4128507832719695e-06,0.4556054284291449,-1.134143158374368
n-acetyl-l-alanine_pos,0.7326241248303555,1.0706933920520938,0.09854540343526891
dttp,0.8918268924392593,1.4492455123016361,0.5353020182050081
udp-d-glucuronate,0.5438601757916718,1.173786329911715,0.23116981148700774
sn-glycerol-3-phosphate,0.1566863265337845,0.8731963808266459,-0.1956219441444013
nadh_pos,0.17072445210181564,0.8800395433239065,-0.18435974423336585
dump,0.001402482506780415,1.3477519737445933,0.4305550223565841
n-acetyl-glucosamine-1-phosphate,0.007004923273456926,0.6347370173178706,-0.6557691130770833
nadp+_pos,0.17072914939614947,1.0558409022893165,0.07839246086067138
sarcosine,0.01204354870416886,1.2145430042969647,0.28041357353702867
adenosine,0.12298649564806338,1.2474912080682123,0.31902964793040234
cmp,0.21601650575581355,1.0605380027889857,0.08479631860810619
malate,0.2840134579579009,1.0519803635165876,0.07310777523702174
leucine-isoleucine,0.593331127326076,1.0297308915696197,0.042267354763072196
udp-d-glucose,0.9444689473371313,0.9768195293609364,-0.033836050755202324
dl-pipecolic acid,0.7830860103817279,1.0247939650312194,0.03533388484648285
2-aminooctanoic acid,0.35821524848288766,1.0137911919885199,0.019760534684450118
uridine,0.016184590151995745,1.215140223262492,0.28112280579205695
citrate,0.1566863265337845,0.8120119239109642,-0.30042718220485326
aspartate,0.625848107833758,1.0128425629570983,0.01840993791689155
phosphoenolpyruvate,1.8516194002596882e-05,0.5874701691440013,-0.7674124992449065
hydroxyphenylpyruvate,0.6930593059150806,0.9286862351072609,-0.1067368432901357
methylmalonic acid,0.9497502528697822,0.9830809311697001,-0.024617904983751576
dihydroxy-acetone-phosphate,2.6402268304131878e-05,0.6857030808407247,-0.544344090689053
citrulline,0.03134662958057439,1.2848115105847702,0.36155672308397496
cdp-choline,0.03461428309864923,1.147898735755251,0.1989953773206609
acetylphosphate,0.02348705011588116,0.7792209266390188,-0.359895672147636
glycolate,0.011167905726611315,0.8298361938252876,-0.2691015122578115
choline,0.8970746320069007,0.9177659295984438,-0.12380184458925445
xanthosine,0.03635442704031444,0.7722143688855322,-0.3729266955842368
coenzyme a,0.03294530889184578,1.211695132433137,0.27702675635719054
7-methylguanosine,0.11980108906460285,1.1871574618533804,0.24751130344546213
methionine,0.717697203317083,0.9857706326484782,-0.020676092944457772
acetyl-coa,0.0037047662187470074,0.7421651198997504,-0.43018789569796584
cytidine,9.939427360903113e-06,1.8815693726479954,0.9119364819278216
udp-n-acetyl-glucosamine,0.6281989350863827,1.0086356058969033,0.01240505995794152
trehalose-6-phosphate,0.1728097375155162,1.141510299362655,0.19094387644600821
hypoxanthine,0.03518625431415718,0.8519311411806282,-0.23119126806521287
glutamate,0.9761852686445814,1.0267056513083312,0.03802263125232946
pyrophosphate,0.2552523652190851,1.0680944655233613,0.09503924900597553
xanthine,0.02348705011588116,0.7076154790321338,-0.4989624876749246
betaine aldehyde,0.8138227613930007,1.0080560148360505,0.011575807568868937
4-phosphopantothenate,0.19466777386613632,0.8367729799715578,-0.25709182825758103
idp,0.2722560817646894,0.9125551892880488,-0.13201628241340474
adenine,0.040701203242525165,1.2811807808755358,0.3574740613710943
homocysteine,9.727766688225509e-09,6.798056406480393,2.765122332608023
imp,0.00031969258370039715,1.1876200889897381,0.24807340231119382
ribose-phosphate,0.0009212070561400004,0.7738922500409983,-0.3697953827202283
quinolinate,7.87099404137168e-08,0.20670132412437645,-2.274380464220022
biotin,0.4675978007779388,0.9375141539879005,-0.09308762334187198
glucose-1-phosphate,0.00026714953456095686,0.6308226764774808,-0.664693572594094
pantothenate,0.010349275324349875,1.5371826333574172,0.6202885824561967
carnitine,0.47988225734369394,0.9689747022432293,-0.04546909428793602
4-aminobutyrate,0.5527003493407635,1.0003932530737956,0.0005672327336798413
glutathione disulfide_neg,0.5751043787883028,0.9786687559987681,-0.031107452568119004
nadp+_neg,0.35821524848288766,1.0648268470634075,0.09061885092758823
2-isopropylmalic acid,0.1879025491364138,0.8679523912279089,-0.20431218450229818
tyrosine,0.49653166252867864,1.0183884836721782,0.026288009894937483
damp,1.265564489693305e-07,1.452946963349437,0.5389820415053344
cdp-ethanolamine,0.5705893962165254,0.9633667606220094,-0.053842947911892244
ctp,0.0691182177699349,1.284024536588736,0.3606727713672778
cyclic-amp,6.419890161635796e-05,0.6202216901935975,-0.6891441145873269
dihydroorotate,0.13467828559036046,0.6497738612982638,-0.6219903858980991
histidine,0.4514931571830191,1.051261459538228,0.07212152702392774
proline,0.21601650575581355,1.1182653964433582,0.1612626217179355
nicotinamide,0.0024059135572959208,0.7766369832665742,-0.36468768521388917
carbamoyl phosphate,0.6639187639116373,1.0113045047172555,0.016217459457480193
s-adenosyl-l-homocysteine_pos,0.00014598083465348108,1.6272722494416674,0.7024556401077187
aconitate,0.10340195377891614,0.6842994889572459,-0.5473002249370564
amp,3.4314702430862754e-05,1.1500378810408964,0.20168138281292466
o-acetyl-l-serine,8.670818724926806e-06,1.4936417261996158,0.5788341361987186
dgtp,0.02152807306384625,0.7851391452338743,-0.3489797385270248
2-keto-isovalerate,0.35821524848288766,1.0350194421929935,0.049657868103316585
deoxyguanosine,0.012838369038672925,1.264955415184421,0.3390865363615788
dimethylglycine,0.4240793027545473,1.055298410935594,0.07765101324699261
glutathione disulfide_pos,0.33777360537563206,0.9414558374360102,-0.08703467355438074
"guanosine 5-diphosphate,3-diphosphate",0.43570705494572304,0.8187275419696994,-0.2885446665203701
itaconic acid,0.059120605372363605,0.7597818404938192,-0.3963428642513598
5-methyl-thf,0.008870494038570431,0.6054521592509533,-0.723915127268628
asparagine,0.05479931218097371,1.1747078312266648,0.23230197989302512
hmg-coa,0.35131653848236943,1.2742463224849958,0.3496441895859891
methylcysteine,0.15475514677850843,1.0620444700898346,0.08684417615606117
indole,0.52207204483405,0.9462734119339211,-0.07967100534975456
phenylpropiolic acid,0.5307331632554839,1.130608573782305,0.17709954258563546
dtdp,0.10481484524916014,1.349554636850626,0.43248338563605115
acetoacetate,0.038790156952861345,1.2366631920862237,0.3064526326745049
succinate,0.9286405930915829,0.9771760592128932,-0.033309576838820076
acetylcarnitine dl,0.0014683238579366912,0.8754877580245175,-0.19184108934194896
dcmp,0.001370592791507901,1.228711528344211,0.2971462456719184
glutathione_neg,0.6979619804878765,0.9082470503590783,-0.13884331956368465
nad+_neg,0.6400141225236567,0.9953942039857983,-0.006660108420240577
glycerophosphocholine,0.35821524848288766,0.942246732184386,-0.0858232084146112
n-acetyl-glutamate,0.7028772925759912,1.0548722985147736,0.07706835869493994
threonine,0.009221323576932342,1.2029346638380631,0.26655828614109456
glycerate,0.2063287355836595,0.8727377350943699,-0.19637991769296312
ump,0.10340195377891614,1.1319973559981242,0.17887058847646575
valine,0.13125459248130367,1.107351209348056,0.14711286225068188
atp,0.024522696283310105,0.7832740785495161,-0.35241087986647596
d-sedoheptulose-1-7-phosphate,0.00013830448595045263,0.5766898172669194,-0.7941325462364157
utp,0.020421450249098246,0.7559088957935706,-0.40371572751375223
2-ketohexanoic acid,0.02559849654811937,0.8209046863712777,-0.2847133716444511
gdp,0.5394666172474829,1.0270608051096872,0.0385215960995499
acetyllysine,0.015046370253683251,1.192851573518522,0.2544145397049222
uric acid,0.15863802272468175,0.8625129546337958,-0.2133819691867844
cytosine,8.942518610487638e-06,1.2882689667949943,0.365433833010754
serine,0.15284098291230017,1.1126954222713268,0.1540587383102511
adp,0.3939732845695296,0.9471102749699809,-0.07839568198133354
dtmp_pos,0.625848107833758,1.0103542630286086,0.014861237433579335
