"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","metabs_mean","FoldEnrich","query"
"map00760","map00760","Nicotinate and nicotinamide metabolism","4/54","55/2402",0.0333619024619537,0.124201992172022,0.0926067485493145,"C00111/C00153/C00455/C03722",4,0.810769110223673,3.23501683501684,"dihydroxy-acetone-phosphate/nicotinamide/nicotinamide ribotide/quinolinate"
"map00410","map00410","beta-Alanine metabolism","3/54","32/2402",0.0336380395465892,0.124201992172022,0.0926067485493145,"C00024/C00864/C03722",3,0.828683025793848,4.17013888888889,"acetyl-coa/pantothenate/quinolinate"
"map00400","map00400","Phenylalanine, tyrosine and tryptophan biosynthesis","3/54","35/2402",0.042348963128136,0.145196445010752,0.108260507244859,"C00279/C00074/C00078",3,0.644359958215355,3.81269841269841,"d-erythrose-4-phosphate/phosphoenolpyruvate/tryptophan"
"map00640","map00640","Propanoate metabolism","3/54","41/2402",0.0628108780404358,0.200994809729395,0.149864551114022,"C00024/C00111/C00186",3,0.73357902489701,3.25474254742547,"acetyl-coa/dihydroxy-acetone-phosphate/lactate"
"map00330","map00330","Arginine and proline metabolism","4/54","69/2402",0.0672518800906411,0.201755640271923,0.150431837044855,"C00581/C00019/C00213/C00086",4,1.06589807906621,2.57863660762211,"guanidoacetic acid/s-adenosyl-l-methionine/sarcosine/urea"
"map00020","map00020","Citrate cycle (TCA cycle)","2/54","20/2402",0.072818217195285,0.205604377963158,0.153301509884811,"C00024/C00074",2,0.664817644521876,4.44814814814815,"acetyl-coa/phosphoenolpyruvate"
"map00220","map00220","Arginine biosynthesis","2/54","23/2402",0.0929453110458534,0.234809206852682,0.175077040197175,"C00327/C00086",2,1.0909083935841,3.86795491143317,"citrulline/urea"
"map00290","map00290","Valine, leucine and isoleucine biosynthesis","2/54","23/2402",0.0929453110458534,0.234809206852682,0.175077040197175,"C00024/C00188",2,0.972549891868907,3.86795491143317,"acetyl-coa/threonine"
"map00071","map00071","Fatty acid degradation","3/54","50/2402",0.100463340489716,0.241112017175318,0.179776504034229,"C00024/C00010/C03547",3,0.927898815386058,2.66888888888889,"acetyl-coa/coenzyme a/glycolate"
"map00380","map00380","Tryptophan metabolism","4/54","83/2402",0.113920172037057,0.26038896465613,0.194149666629571,"C00024/C00328/C03722/C00078",4,0.579788365326999,2.14368585452923,"acetyl-coa/kynurenine/quinolinate/tryptophan"
